WELL_NAME,WELL_GROUP_NAME,PROD_DATE,LIQ_PROD_DAILY,OIL_PROD_DAILY,WATER_CUT,WH_TEMP,MAX_TUBING_PRES
W350,G056,2025/07/04 00:00:00,,,,,0.0
W350,G056,2025/07/05 00:00:00,,,,,0.0
W350,G056,2025/07/06 00:00:00,,,,,0.0
W350,G056,2025/07/07 00:00:00,,,,,0.0
W350,G056,2025/07/08 00:00:00,,,,,0.0
W350,G056,2025/07/09 00:00:00,,,,,0.0
W350,G056,2025/07/10 00:00:00,,,,,0.0
W350,G056,2025/07/11 00:00:00,,,,,0.0
W350,G056,2025/07/12 00:00:00,,,,,0.0
W350,G056,2025/07/13 00:00:00,,,,,0.0
W350,G056,2025/07/14 00:00:00,,,,,0.0
W350,G056,2025/07/15 00:00:00,,,,,0.0
W350,G056,2025/07/16 00:00:00,,,,,0.0
W350,G056,2025/07/17 00:00:00,,,,,0.0
W350,G056,2025/07/18 00:00:00,,,,,0.0
W350,G056,2025/07/19 00:00:00,,,,,0.0
W350,G056,2025/07/20 00:00:00,,,,,0.0
W350,G056,2025/07/21 00:00:00,,,,,0.0
W350,G056,2025/07/22 00:00:00,,,,,0.0
W350,G056,2025/07/23 00:00:00,,,,,0.0
W350,G056,2025/07/24 00:00:00,,,,,0.0
W350,G056,2025/07/25 00:00:00,,,,,0.0
W350,G056,2025/07/26 00:00:00,,,,,0.0
W350,G056,2025/07/27 00:00:00,,,,,0.0
W350,G056,2025/07/28 00:00:00,,,,,0.0
W350,G056,2025/07/29 00:00:00,,,,,0.0
W350,G056,2025/07/30 00:00:00,,,,,0.0
W350,G056,2025/07/31 00:00:00,,,,,0.0
W350,G056,2025/08/01 00:00:00,,,,,0.0
W350,G056,2025/08/02 00:00:00,,,,,0.0
W350,G056,2025/08/03 00:00:00,,,,,0.0
W350,G056,2025/08/04 00:00:00,,,,,0.0
W350,G056,2025/08/05 00:00:00,,,,,0.0
W350,G056,2025/08/06 00:00:00,,,,,0.0
W350,G056,2025/08/07 00:00:00,,,,,0.0
W350,G056,2025/08/08 00:00:00,,,,,0.0
W350,G056,2025/08/09 00:00:00,,,,,0.0
W350,G056,2025/08/10 00:00:00,,,,,0.0
W350,G056,2025/08/11 00:00:00,,,,,0.0
W350,G056,2025/08/12 00:00:00,,,,,0.0
W350,G056,2025/08/13 00:00:00,,,,,0.0
W350,G056,2025/08/14 00:00:00,,,,,0.0
W350,G056,2025/08/15 00:00:00,,,,,0.0
W350,G056,2025/08/16 00:00:00,,,,,0.0
W350,G056,2025/08/17 00:00:00,,,,,0.0
W350,G056,2025/08/18 00:00:00,,,,,0.0
W350,G056,2025/08/19 00:00:00,,,,,0.0
W350,G056,2025/08/20 00:00:00,,,,,0.0
W350,G056,2025/08/21 00:00:00,,,,,0.0
W350,G056,2025/08/22 00:00:00,,,,,0.0
W350,G056,2025/08/23 00:00:00,,,,,0.0
W350,G056,2025/08/24 00:00:00,,,,,0.0
W350,G056,2025/08/25 00:00:00,,,,,0.0
W350,G056,2025/08/26 00:00:00,,,,,0.0
W350,G056,2025/08/27 00:00:00,,,,,0.0
W350,G056,2025/08/28 00:00:00,,,,,0.0
W350,G056,2025/08/29 00:00:00,,,,,0.0
W350,G056,2025/08/30 00:00:00,,,,,0.0
W350,G056,2025/08/31 00:00:00,,,,,0.0
W063,G058,2025/08/01 00:00:00,8.0,3.16,60.54,80.0,0.15
W063,G058,2025/08/02 00:00:00,8.0,2.03,74.6,80.0,0.15
W063,G058,2025/08/03 00:00:00,6.5,1.61,75.2,80.0,0.15
W063,G058,2025/08/04 00:00:00,8.6,0.58,93.2,80.0,0.15
W063,G058,2025/08/05 00:00:00,8.1,0.06,99.3,83.0,0.15
W063,G058,2025/08/31 00:00:00,15.9,1.63,89.72,83.0,0.15
W063,G058,2025/07/01 00:00:00,8.7,1.04,88.09,71.0,0.12
W063,G058,2025/07/02 00:00:00,14.4,1.93,86.58,80.0,0.12
W063,G058,2025/07/03 00:00:00,14.7,2.79,81.01,80.0,0.15
W063,G058,2025/07/04 00:00:00,13.3,2.49,81.27,80.0,0.15
W063,G058,2025/07/05 00:00:00,15.5,0.82,94.72,80.0,0.15
W063,G058,2025/07/06 00:00:00,13.5,0.56,95.86,80.0,0.15
W063,G058,2025/07/07 00:00:00,29.0,1.25,95.69,80.0,0.15
W063,G058,2025/07/08 00:00:00,17.5,1.77,89.9,75.0,0.15
W063,G058,2025/07/09 00:00:00,32.7,0.29,99.1,75.0,0.15
W063,G058,2025/07/10 00:00:00,42.4,0.25,99.4,80.0,0.18
W339,G086,2025/07/13 00:00:00,1.5,0.01,99.5,74.0,0.25
W339,G086,2025/07/14 00:00:00,1.5,0.01,99.5,74.0,0.23
W339,G086,2025/07/15 00:00:00,1.5,0.01,99.4,74.0,0.21
W339,G086,2025/07/16 00:00:00,1.5,0.01,99.4,75.0,0.22
W339,G086,2025/07/17 00:00:00,1.5,0.01,99.4,65.0,0.22
W339,G086,2025/07/18 00:00:00,1.5,0.14,90.6,65.0,0.21
W339,G086,2025/07/19 00:00:00,1.5,0.24,84.2,65.0,0.22
W339,G086,2025/07/20 00:00:00,1.5,0.24,84.2,65.0,0.23
W339,G086,2025/07/21 00:00:00,4.8,0.76,84.2,65.0,0.22
W339,G086,2025/07/22 00:00:00,2.9,0.46,84.2,68.0,0.21
W339,G086,2025/07/23 00:00:00,2.8,0.41,85.5,68.0,0.22
W339,G086,2025/07/24 00:00:00,5.8,0.84,85.5,70.0,0.2
W339,G086,2025/07/25 00:00:00,4.3,0.02,99.5,75.0,0.21
W339,G086,2025/07/26 00:00:00,6.0,0.05,99.1,77.0,0.18
W339,G086,2025/07/27 00:00:00,6.0,0.05,99.1,50.0,0.2
W339,G086,2025/07/28 00:00:00,6.0,0.05,99.1,52.0,0.21
W339,G086,2025/07/29 00:00:00,6.0,0.78,87.0,52.0,0.2
W339,G086,2025/07/30 00:00:00,6.0,0.07,98.87,55.0,0.25
W339,G086,2025/07/31 00:00:00,8.8,0.1,98.85,55.0,0.2
W339,G086,2025/08/06 00:00:00,6.3,0.52,91.75,60.0,0.15
W339,G086,2025/08/07 00:00:00,6.3,0.17,97.34,63.0,0.2
W339,G086,2025/08/08 00:00:00,6.3,0.08,98.74,70.0,0.2
W339,G086,2025/08/09 00:00:00,6.3,0.15,97.6,70.0,0.2
W339,G086,2025/08/10 00:00:00,6.3,0.06,99.02,70.0,0.2
W339,G086,2025/08/11 00:00:00,6.3,0.17,97.38,70.0,0.2
W339,G086,2025/08/12 00:00:00,6.3,0.2,96.9,72.0,0.2
W339,G086,2025/08/13 00:00:00,6.3,0.2,96.9,70.0,0.2
W339,G086,2025/08/14 00:00:00,6.3,0.06,99.0,72.0,0.21
W339,G086,2025/08/15 00:00:00,6.3,0.03,99.5,79.0,0.22
W339,G086,2025/08/16 00:00:00,6.3,0.18,97.1,74.0,0.25
W339,G086,2025/08/17 00:00:00,6.3,0.07,98.89,74.0,0.26
W339,G086,2025/08/18 00:00:00,6.3,0.08,98.72,74.0,0.25
W339,G086,2025/08/19 00:00:00,6.3,0.63,90.0,75.0,0.22
W339,G086,2025/08/20 00:00:00,6.3,0.63,90.0,75.0,0.21
W339,G086,2025/08/21 00:00:00,6.3,0.67,89.43,74.0,0.2
W339,G086,2025/08/01 00:00:00,5.1,0.52,89.9,70.0,0.21
W339,G086,2025/08/02 00:00:00,5.5,0.56,89.9,70.0,0.18
W339,G086,2025/08/03 00:00:00,6.3,0.07,98.95,70.0,0.17
W339,G086,2025/08/04 00:00:00,6.3,0.14,97.76,70.0,0.15
W339,G086,2025/08/05 00:00:00,6.3,0.06,99.1,60.0,0.1
W339,G086,2025/08/31 00:00:00,6.3,0.59,90.62,77.0,0.21
W064,G058,2025/08/01 00:00:00,4.7,1.27,73.01,80.0,0.15
W064,G058,2025/08/02 00:00:00,4.7,0.89,81.16,80.0,0.15
W064,G058,2025/08/03 00:00:00,4.7,1.13,75.97,80.0,0.15
W064,G058,2025/08/04 00:00:00,4.7,0.66,86.02,80.0,0.15
W064,G058,2025/08/05 00:00:00,4.7,0.7,85.04,83.0,0.15
W064,G058,2025/07/01 00:00:00,23.8,2.05,91.39,70.0,0.13
W064,G058,2025/07/02 00:00:00,42.4,3.27,92.29,80.0,0.13
W064,G058,2025/07/03 00:00:00,11.2,2.48,77.83,80.0,0.15
W064,G058,2025/07/04 00:00:00,12.0,0.57,95.25,80.0,0.15
W064,G058,2025/07/05 00:00:00,9.9,1.42,85.62,80.0,0.15
W064,G058,2025/07/06 00:00:00,9.1,0.9,90.12,80.0,0.15
W064,G058,2025/07/07 00:00:00,9.4,1.68,82.15,83.0,0.15
W064,G058,2025/07/08 00:00:00,8.4,2.31,72.49,75.0,0.15
W064,G058,2025/07/09 00:00:00,5.8,0.73,87.34,75.0,0.15
W064,G058,2025/07/10 00:00:00,5.5,0.73,86.79,80.0,0.15
W064,G058,2025/07/11 00:00:00,3.3,0.35,89.34,80.0,0.15
W064,G058,2025/07/12 00:00:00,3.3,0.35,89.34,80.0,0.15
W064,G058,2025/07/13 00:00:00,3.3,0.54,83.67,80.0,0.15
W064,G058,2025/07/14 00:00:00,3.3,0.21,93.64,80.0,0.15
W064,G058,2025/07/15 00:00:00,10.3,1.42,86.26,80.0,0.15
W064,G058,2025/07/16 00:00:00,10.3,0.99,90.37,80.0,0.15
W064,G058,2025/07/17 00:00:00,10.3,2.11,79.48,80.0,0.15
W064,G058,2025/07/18 00:00:00,15.3,1.98,87.06,80.0,0.1
W064,G058,2025/07/19 00:00:00,15.3,1.13,92.62,80.0,0.1
W064,G058,2025/07/20 00:00:00,15.3,2.52,83.55,80.0,0.1
W064,G058,2025/07/21 00:00:00,15.3,3.0,80.42,80.0,0.1
W064,G058,2025/07/22 00:00:00,15.3,3.75,75.49,80.0,0.1
W064,G058,2025/07/23 00:00:00,15.3,3.6,76.46,80.0,0.1
W064,G058,2025/07/24 00:00:00,15.3,0.7,95.42,80.0,0.1
W064,G058,2025/07/25 00:00:00,4.7,0.62,86.76,83.0,0.1
W064,G058,2025/07/26 00:00:00,4.7,1.0,78.64,80.0,0.15
W064,G058,2025/07/27 00:00:00,4.7,0.67,85.84,80.0,0.15
W064,G058,2025/07/28 00:00:00,4.7,1.18,74.8,80.0,0.15
W064,G058,2025/07/29 00:00:00,4.7,0.81,82.8,80.0,0.15
W064,G058,2025/07/30 00:00:00,4.7,1.23,73.85,85.0,0.15
W064,G058,2025/07/31 00:00:00,4.7,0.87,81.46,85.0,0.15
W064,G058,2025/08/06 00:00:00,4.7,0.56,88.1,83.0,0.15
W064,G058,2025/08/07 00:00:00,4.7,0.9,80.88,80.0,0.15
W064,G058,2025/08/08 00:00:00,4.7,1.21,74.17,80.0,0.15
W064,G058,2025/08/09 00:00:00,4.7,1.18,74.82,80.0,0.15
W064,G058,2025/08/10 00:00:00,4.7,1.32,71.96,80.0,0.15
W064,G058,2025/08/11 00:00:00,4.7,1.2,74.52,80.0,0.15
W064,G058,2025/08/12 00:00:00,16.4,0.92,94.4,80.0,0.15
W064,G058,2025/08/13 00:00:00,16.4,0.79,95.2,80.0,0.15
W064,G058,2025/08/14 00:00:00,16.4,3.85,76.51,80.0,0.15
W064,G058,2025/08/15 00:00:00,16.4,0.75,95.42,80.0,0.15
W064,G058,2025/08/16 00:00:00,16.4,1.9,88.42,80.0,0.15
W064,G058,2025/08/17 00:00:00,16.4,0.23,98.6,80.0,0.15
W064,G058,2025/08/18 00:00:00,16.4,0.23,98.59,80.0,0.15
W064,G058,2025/08/19 00:00:00,16.4,0.19,98.82,80.0,0.15
W064,G058,2025/08/20 00:00:00,16.4,2.81,82.84,80.0,0.15
W279,G038,2025/07/01 00:00:00,,,,,0.0
W279,G038,2025/07/02 00:00:00,,,,,0.0
W279,G038,2025/07/03 00:00:00,,,,,0.0
W279,G038,2025/07/04 00:00:00,,,,,0.0
W279,G038,2025/07/05 00:00:00,,,,,0.0
W279,G038,2025/07/06 00:00:00,,,,,0.0
W279,G038,2025/07/07 00:00:00,,,,,0.0
W279,G038,2025/07/08 00:00:00,,,,,0.0
W279,G038,2025/07/09 00:00:00,,,,,0.0
W279,G038,2025/07/10 00:00:00,,,,,0.0
W279,G038,2025/07/11 00:00:00,,,,,0.0
W279,G038,2025/07/12 00:00:00,,,,,0.0
W279,G038,2025/07/13 00:00:00,,,,,0.0
W279,G038,2025/07/14 00:00:00,,,,,0.0
W279,G038,2025/07/15 00:00:00,,,,,0.0
W279,G038,2025/07/16 00:00:00,,,,,0.0
W279,G038,2025/07/17 00:00:00,,,,,0.0
W279,G038,2025/07/18 00:00:00,,,,,0.0
W279,G038,2025/07/19 00:00:00,26.0,5.69,78.1,67.0,0.2
W279,G038,2025/07/20 00:00:00,43.2,8.86,79.5,67.0,0.2
W279,G038,2025/07/21 00:00:00,30.0,12.15,59.5,68.0,0.2
W279,G038,2025/07/22 00:00:00,68.0,25.91,61.9,68.0,0.2
W279,G038,2025/07/23 00:00:00,65.8,21.39,67.5,67.0,0.2
W279,G038,2025/07/24 00:00:00,62.9,20.19,67.9,55.0,0.21
W279,G038,2025/07/25 00:00:00,69.2,14.39,79.2,55.0,0.21
W279,G038,2025/07/26 00:00:00,68.0,14.14,79.2,55.0,0.21
W279,G038,2025/07/27 00:00:00,82.7,17.2,79.2,55.0,0.21
W279,G038,2025/07/28 00:00:00,87.1,18.12,79.2,55.0,0.21
W279,G038,2025/07/29 00:00:00,78.6,15.56,80.2,55.0,0.21
W279,G038,2025/07/30 00:00:00,69.7,13.8,80.2,55.0,0.21
W279,G038,2025/07/31 00:00:00,69.7,16.59,76.2,55.0,0.21
W279,G038,2025/08/01 00:00:00,69.7,16.59,76.2,60.0,0.21
W279,G038,2025/08/02 00:00:00,48.0,16.66,65.3,60.0,0.21
W279,G038,2025/08/03 00:00:00,72.2,15.6,78.4,60.0,0.21
W279,G038,2025/08/04 00:00:00,71.5,15.44,78.4,60.0,0.21
W279,G038,2025/08/05 00:00:00,72.2,23.97,66.8,65.0,0.21
W279,G038,2025/08/06 00:00:00,70.0,23.24,66.8,65.0,0.21
W279,G038,2025/08/07 00:00:00,71.6,15.11,78.9,65.0,0.21
W279,G038,2025/08/08 00:00:00,79.3,16.73,78.9,65.0,0.21
W279,G038,2025/08/09 00:00:00,70.3,17.93,74.5,65.0,0.21
W279,G038,2025/08/10 00:00:00,76.8,10.37,86.5,65.0,0.21
W279,G038,2025/08/11 00:00:00,70.7,9.54,86.5,65.0,0.21
W279,G038,2025/08/12 00:00:00,70.7,16.33,76.9,65.0,0.21
W279,G038,2025/08/13 00:00:00,70.0,16.17,76.9,65.0,0.21
W279,G038,2025/08/14 00:00:00,82.7,28.28,65.8,62.0,0.21
W279,G038,2025/08/15 00:00:00,83.4,28.52,65.8,62.0,0.21
W279,G038,2025/08/16 00:00:00,73.7,25.21,65.8,62.0,0.21
W279,G038,2025/08/17 00:00:00,79.3,27.12,65.8,62.0,0.21
W279,G038,2025/08/18 00:00:00,72.9,24.93,65.8,62.0,0.21
W279,G038,2025/08/19 00:00:00,58.6,19.22,67.2,50.0,0.21
W279,G038,2025/08/20 00:00:00,72.2,25.85,64.2,50.0,0.21
W279,G038,2025/08/21 00:00:00,68.1,21.18,68.9,73.0,0.35
W279,G038,2025/08/22 00:00:00,70.7,21.99,68.9,73.0,0.35
W279,G038,2025/08/23 00:00:00,70.8,22.02,68.9,73.0,0.35
W279,G038,2025/08/24 00:00:00,70.0,21.77,68.9,73.0,0.35
W279,G038,2025/08/25 00:00:00,70.1,21.8,68.9,73.0,0.35
W279,G038,2025/08/26 00:00:00,70.7,20.86,70.5,55.0,0.22
W279,G038,2025/08/27 00:00:00,72.9,18.08,75.2,65.0,0.22
W279,G038,2025/08/28 00:00:00,44.3,16.17,63.5,62.0,0.22
W279,G038,2025/08/29 00:00:00,42.5,16.79,60.5,65.0,0.22
W279,G038,2025/08/30 00:00:00,62.9,15.66,75.1,66.0,0.22
W279,G038,2025/08/31 00:00:00,70.7,14.92,78.9,66.0,0.22
W350,G056,2025/07/01 00:00:00,,,,,
W063,G058,2025/08/20 00:00:00,2.5,0.35,86.03,80.0,0.15
W063,G058,2025/08/21 00:00:00,2.5,0.11,95.77,80.0,0.15
W063,G058,2025/08/22 00:00:00,1.8,0.22,88.02,80.0,0.15
W063,G058,2025/08/23 00:00:00,1.8,0.33,81.54,80.0,0.15
W063,G058,2025/08/24 00:00:00,2.5,0.28,88.68,80.0,0.15
W063,G058,2025/08/25 00:00:00,3.3,0.06,98.25,80.0,0.15
W063,G058,2025/08/26 00:00:00,4.6,0.86,81.37,80.0,0.15
W063,G058,2025/08/27 00:00:00,9.3,1.24,86.68,80.0,0.15
W063,G058,2025/08/28 00:00:00,11.2,0.37,96.73,80.0,0.15
W063,G058,2025/08/29 00:00:00,12.4,1.44,88.37,80.0,0.15
W063,G058,2025/08/30 00:00:00,16.6,0.33,98.04,83.0,0.15
W277,G036,2025/08/30 00:00:00,24.5,5.51,77.5,114.0,0.69
W277,G036,2025/08/31 00:00:00,24.5,5.51,77.5,114.0,0.7
W277,G036,2025/07/01 00:00:00,27.8,16.62,40.2,120.0,0.72
W277,G036,2025/07/02 00:00:00,29.0,14.94,48.5,120.0,0.67
W277,G036,2025/07/03 00:00:00,29.5,13.04,55.8,115.0,0.65
W277,G036,2025/07/04 00:00:00,32.7,14.45,55.8,115.0,0.65
W277,G036,2025/07/05 00:00:00,35.0,20.23,42.2,115.0,0.65
W277,G036,2025/07/06 00:00:00,33.5,22.31,33.4,115.0,0.55
W277,G036,2025/07/07 00:00:00,33.5,22.31,33.4,115.0,0.51
W277,G036,2025/07/08 00:00:00,33.5,26.47,21.0,115.0,0.51
W277,G036,2025/07/09 00:00:00,33.5,26.47,21.0,115.0,0.51
W277,G036,2025/07/10 00:00:00,33.5,26.47,21.0,115.0,0.51
W277,G036,2025/07/11 00:00:00,,,,,
W277,G036,2025/07/12 00:00:00,33.5,3.95,88.2,66.0,0.45
W277,G036,2025/07/13 00:00:00,62.2,18.35,70.5,50.0,0.23
W277,G036,2025/07/14 00:00:00,60.0,17.7,70.5,50.0,0.23
W277,G036,2025/07/15 00:00:00,53.4,18.53,65.3,50.0,0.45
W277,G036,2025/07/16 00:00:00,32.0,14.3,55.3,100.0,0.7
W277,G036,2025/07/17 00:00:00,30.5,14.15,53.6,115.0,0.7
W277,G036,2025/07/18 00:00:00,29.7,13.78,53.6,115.0,0.7
W277,G036,2025/07/19 00:00:00,30.0,13.47,55.1,115.0,0.79
W277,G036,2025/07/20 00:00:00,30.0,13.47,55.1,115.0,0.79
W277,G036,2025/07/21 00:00:00,30.5,15.19,50.2,115.0,0.72
W277,G036,2025/07/22 00:00:00,30.5,9.49,68.9,118.0,0.7
W277,G036,2025/07/23 00:00:00,29.7,12.03,59.5,118.0,0.7
W277,G036,2025/07/24 00:00:00,29.2,13.72,53.0,118.0,0.7
W277,G036,2025/07/25 00:00:00,29.0,13.63,53.0,118.0,0.7
W277,G036,2025/07/26 00:00:00,29.0,12.15,58.1,118.0,0.69
W277,G036,2025/07/27 00:00:00,28.3,11.86,58.1,118.0,0.69
W277,G036,2025/07/28 00:00:00,27.5,11.52,58.1,118.0,0.69
W277,G036,2025/07/29 00:00:00,26.8,11.85,55.8,112.0,0.68
W277,G036,2025/07/30 00:00:00,26.3,11.62,55.8,115.0,0.72
W277,G036,2025/07/31 00:00:00,26.0,8.09,68.9,115.0,0.72
W277,G036,2025/08/01 00:00:00,26.0,8.09,68.9,115.0,0.62
W277,G036,2025/08/02 00:00:00,25.3,7.87,68.9,115.0,0.72
W277,G036,2025/08/03 00:00:00,26.0,8.09,68.9,115.0,0.72
W277,G036,2025/08/04 00:00:00,26.0,8.09,68.9,115.0,0.72
W277,G036,2025/08/05 00:00:00,25.6,6.02,76.5,113.0,0.68
W277,G036,2025/08/06 00:00:00,25.3,5.95,76.5,113.0,0.68
W277,G036,2025/08/07 00:00:00,24.8,7.56,69.5,113.0,0.68
W277,G036,2025/08/08 00:00:00,25.3,7.72,69.5,113.0,0.68
W277,G036,2025/08/09 00:00:00,24.8,7.56,69.5,113.0,0.68
W277,G036,2025/08/10 00:00:00,24.5,7.47,69.5,113.0,0.7
W277,G036,2025/08/11 00:00:00,24.1,7.35,69.5,113.0,0.71
W277,G036,2025/08/12 00:00:00,23.8,7.02,70.5,113.0,0.71
W277,G036,2025/08/13 00:00:00,22.6,6.67,70.5,115.0,0.71
W277,G036,2025/08/14 00:00:00,22.6,6.6,70.8,115.0,0.7
W277,G036,2025/08/15 00:00:00,23.4,6.83,70.8,115.0,0.71
W277,G036,2025/08/16 00:00:00,23.8,6.95,70.8,115.0,0.71
W277,G036,2025/08/17 00:00:00,23.8,6.95,70.8,115.0,0.61
W277,G036,2025/08/18 00:00:00,24.1,7.04,70.8,115.0,0.61
W277,G036,2025/08/19 00:00:00,24.5,6.08,75.2,113.0,0.72
W277,G036,2025/08/20 00:00:00,24.8,6.15,75.2,113.0,0.7
W277,G036,2025/08/21 00:00:00,25.3,7.19,71.6,114.0,0.7
W277,G036,2025/08/22 00:00:00,24.8,7.04,71.6,114.0,0.71
W277,G036,2025/08/23 00:00:00,24.5,6.96,71.6,114.0,0.7
W277,G036,2025/08/24 00:00:00,24.5,9.48,61.3,114.0,0.79
W277,G036,2025/08/25 00:00:00,24.5,9.48,61.3,114.0,0.79
W277,G036,2025/08/26 00:00:00,24.1,8.39,65.2,114.0,0.7
W277,G036,2025/08/27 00:00:00,24.5,5.76,76.5,114.0,0.69
W277,G036,2025/08/28 00:00:00,24.5,6.3,74.3,114.0,0.69
W277,G036,2025/08/29 00:00:00,24.5,5.51,77.5,115.0,0.69
W329,G081,2025/07/01 00:00:00,28.8,0.26,99.1,75.0,0.16
